zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
1913,42.85297,-70.94459,Amesbury,MA,Massachusetts,TRUE,,17277,542.7,25009,Essex,"{""25009"": 100}",Essex,25009,FALSE,FALSE,America/New_York
1915,42.56841,-70.8647,Beverly,MA,Massachusetts,TRUE,,41656,1131.9,25009,Essex,"{""25009"": 100}",Essex,25009,FALSE,FALSE,America/New_York
1921,42.6815,-71.01887,Boxford,MA,Massachusetts,TRUE,,8229,134.7,25009,Essex,"{""25009"": 100}",Essex,25009,FALSE,FALSE,America/New_York
1922,42.75862,-70.91758,Byfield,MA,Massachusetts,TRUE,,3791,161.4,25009,Essex,"{""25009"": 100}",Essex,25009,FALSE,FALSE,America/New_York
1923,42.57398,-70.94923,Danvers,MA,Massachusetts,TRUE,,27778,812.2,25009,Essex,"{""25009"": 100}",Essex,25009,FALSE,FALSE,America/New_York
1929,42.63478,-70.77684,Essex,MA,Massachusetts,TRUE,,3605,99.9,25009,Essex,"{""25009"": 100}",Essex,25009,FALSE,FALSE,America/New_York
1930,42.62605,-70.68966,Gloucester,MA,Massachusetts,TRUE,,29862,440.1,25009,Essex,"{""25009"": 100}",Essex,25009,FALSE,FALSE,America/New_York
1937,42.58579,-70.98406,Hathorne,MA,Massachusetts,TRUE,,146,771.6,25009,Essex,"{""25009"": 100}",Essex,25009,FALSE,FALSE,America/New_York
1938,42.68568,-70.83989,Ipswich,MA,Massachusetts,TRUE,,13820,166.2,25009,Essex,"{""25009"": 100}",Essex,25009,FALSE,FALSE,America/New_York
1940,42.53523,-71.03695,Lynnfield,MA,Massachusetts,TRUE,,13183,505.1,25009,Essex,"{""25009"": 99.87, ""25017"": 0.13}",Essex|Middlesex,25009|25017,FALSE,FALSE,America/New_York
1944,42.58154,-70.76825,Manchester,MA,Massachusetts,TRUE,,5368,224.6,25009,Essex,"{""25009"": 100}",Essex,25009,FALSE,FALSE,America/New_York
1945,42.49924,-70.86348,Marblehead,MA,Massachusetts,TRUE,,20390,1777.1,25009,Essex,"{""25009"": 100}",Essex,25009,FALSE,FALSE,America/New_York
1949,42.6043,-71.01641,Middleton,MA,Massachusetts,TRUE,,9727,279.3,25009,Essex,"{""25009"": 100}",Essex,25009,FALSE,FALSE,America/New_York
1950,42.81237,-70.88785,Newburyport,MA,Massachusetts,TRUE,,18444,852.8,25009,Essex,"{""25009"": 100}",Essex,25009,FALSE,FALSE,America/New_York
1951,42.77742,-70.85022,Newbury,MA,Massachusetts,TRUE,,2938,79.3,25009,Essex,"{""25009"": 100}",Essex,25009,FALSE,FALSE,America/New_York
1952,42.84655,-70.86163,Salisbury,MA,Massachusetts,TRUE,,9217,231.5,25009,Essex,"{""25009"": 100}",Essex,25009,FALSE,FALSE,America/New_York
1960,42.53374,-70.97222,Peabody,MA,Massachusetts,TRUE,,53961,1300.9,25009,Essex,"{""25009"": 100}",Essex,25009,FALSE,FALSE,America/New_York
1965,42.56294,-70.82996,Prides Crossing,MA,Massachusetts,TRUE,,752,330.2,25009,Essex,"{""25009"": 100}",Essex,25009,FALSE,FALSE,America/New_York
1966,42.65432,-70.62227,Rockport,MA,Massachusetts,TRUE,,6977,385.5,25009,Essex,"{""25009"": 100}",Essex,25009,FALSE,FALSE,America/New_York
1969,42.72235,-70.88832,Rowley,MA,Massachusetts,TRUE,,6214,131.8,25009,Essex,"{""25009"": 100}",Essex,25009,FALSE,FALSE,America/New_York
1970,42.51298,-70.90266,Salem,MA,Massachusetts,TRUE,,44115,2066.5,25009,Essex,"{""25009"": 100}",Essex,25009,FALSE,FALSE,America/New_York
1982,42.62669,-70.85789,South Hamilton,MA,Massachusetts,TRUE,,7646,207.9,25009,Essex,"{""25009"": 100}",Essex,25009,FALSE,FALSE,America/New_York
1983,42.63728,-70.94251,Topsfield,MA,Massachusetts,TRUE,,6535,212.1,25009,Essex,"{""25009"": 100}",Essex,25009,FALSE,FALSE,America/New_York
1984,42.60078,-70.8826,Wenham,MA,Massachusetts,TRUE,,4930,248.5,25009,Essex,"{""25009"": 100}",Essex,25009,FALSE,FALSE,America/New_York
1985,42.7939,-70.96906,West Newbury,MA,Massachusetts,TRUE,,4536,130.2,25009,Essex,"{""25009"": 100}",Essex,25009,FALSE,FALSE,America/New_York
2019,42.0777,-71.47407,Bellingham,MA,Massachusetts,TRUE,,17160,361.2,25021,Norfolk,"{""25021"": 100}",Norfolk,25021,FALSE,FALSE,America/New_York
2021,42.17504,-71.12645,Canton,MA,Massachusetts,TRUE,,24459,503.8,25021,Norfolk,"{""25021"": 100}",Norfolk,25021,FALSE,FALSE,America/New_York
2025,42.23603,-70.81906,Cohasset,MA,Massachusetts,TRUE,,8358,330.2,25021,Norfolk,"{""25021"": 100}",Norfolk,25021,FALSE,FALSE,America/New_York
2026,42.24665,-71.1777,Dedham,MA,Massachusetts,TRUE,,25109,943.9,25021,Norfolk,"{""25021"": 100}",Norfolk,25021,FALSE,FALSE,America/New_York
2030,42.2366,-71.28421,Dover,MA,Massachusetts,TRUE,,5893,150.7,25021,Norfolk,"{""25021"": 100}",Norfolk,25021,FALSE,FALSE,America/New_York
2032,42.15489,-71.2155,East Walpole,MA,Massachusetts,TRUE,,4914,811.4,25021,Norfolk,"{""25021"": 100}",Norfolk,25021,FALSE,FALSE,America/New_York
2035,42.06266,-71.24613,Foxboro,MA,Massachusetts,TRUE,,18516,360,25021,Norfolk,"{""25021"": 100}",Norfolk,25021,FALSE,FALSE,America/New_York
